id,video_name,title,role,scene,age,gender,accent,mood,speed,sample_text
25,025_青春文学——清新女声,青春文学——清新女声,高中/大学女生,青春校园文学、伤感散文,16–22岁,女,普通话，清新自然,纯真、忧伤、怀旧,中速，音量轻，带微微叹息,毕业那天，我们站在教学楼的天台上，看最后一次日落。谁都没有说话，因为有些再见，说出来就真的成了告别。我偷偷看了一眼旁边的人，他正望着远方，夕阳把他的侧脸染成了金色。后来我才明白，青春最残忍的地方不是离别，而是在你还没来得及珍惜的时候，它就已经结束了。
26,026_军事小说——刚毅男声,军事小说——刚毅男声,军人 / 战地记者,军事题材小说、战争纪实,30–45岁,男,普通话，掷地有声，短促有力,刚毅、坚定、热血,中速，音量中高，字字清晰,"那场战役，我们连只剩下十七个人。弹药见底，通信中断，增援不知道什么时候能到。班长看了看我们，说了一句话——""人在阵地在。""没有多余的动员，没有豪言壮语。但那一刻，每个人的眼睛里都点着一团火。我们不知道明天会怎样，但我们知道，脚下的每一寸土地，都不允许被夺走。"
27,027_童话故事——梦幻女声,童话故事——梦幻女声,仙女教母 / 故事奶奶,经典童话、睡前故事,50–65岁（声音年龄）,女,普通话，慈祥温暖,梦幻、温暖、慈爱,慢速，音量轻柔，像在耳边低语,"很久很久以前，在一个被星星遗忘的小村庄里，住着一个叫""小月""的女孩。她每天都坐在屋顶上数星星，可是怎么数都少一颗。有一天晚上，一颗流星落在了她的手心里，变成了一只闪闪发光的小萤火虫。小萤火虫说：""我就是那颗走丢的星星呀，谢谢你找到了我。""从那以后，小月再也不孤单了。"
28,028_商战小说——深沉男声,商战小说——深沉男声,企业家 / 商业精英,商战题材小说,35–50岁,男,普通话，沉稳，略带威严,冷静、城府、步步为营,中速偏慢，音量中等，留白多,生意场上没有朋友，只有利益。这话听起来冷酷，但事实就是如此。十年前，我和他在一张桌子上签下了第一份合约。十年后，我们坐在同一张桌子的两端，彼此心知肚明——这场棋局，从一开始就没有和棋的可能。商场如战场，唯一不同的是，这里不需要刀枪，但致命程度丝毫不减。
29,029_诗词朗诵——儒雅男声,诗词朗诵——儒雅男声,播音员 / 朗诵艺术家,古典诗词朗诵、文化节目,40–60岁,男,普通话，发音考究，有韵律感,儒雅、深情、意境悠远,慢速，音量中等，有留白和气息控制,明月几时有，把酒问青天。不知天上宫阙，今夕是何年。我欲乘风归去，又恐琼楼玉宇，高处不胜寒。起舞弄清影，何似在人间。——苏东坡写下这首词的时候，正值中秋，月圆人不圆。一千年来，每一个在月下举杯的人，心里想的，大概都是同一个人吧。
30,030_侦探漫画/动画配音——少年男声,侦探漫画/动画配音——少年男声,少年侦探,动画配音、有声漫画,15–20岁（声音年龄）,男,普通话，清亮，有少年感,冷静中带俏皮，自信满满,推理时中速偏快，日常时轻松，音量中等,"""等一下——""他突然停下脚步，嘴角微微上扬。""你们有没有注意到，从一开始，有个人说的话就对不上。第一，他说他整晚都在看电视，可是那个频道十一点就停播了。第二，他的鞋底有红土，可他家周围都是水泥地。所以——真相只有一个。""他推了推眼镜，镜片反过一道白光。"
31,031_自然纪录片——深沉男声,自然纪录片——深沉男声,纪录片旁白（大卫·爱登堡风格）,BBC自然纪录片、动物世界,50–70岁,男,普通话（或英式英语），沉稳优雅,敬畏、好奇、温和,中速偏慢，音量适中，气息悠远,"在非洲大草原的深处，一头母象正带着它刚出生不久的小象，穿越这片干涸的土地。小象的步伐还不太稳，每隔几步就会踉跄一下。但母象从不催促，只是用长长的鼻子轻轻触碰它的背，仿佛在说——""别怕，我在。""这是自然界中最古老的承诺，比语言更早，比文字更久。"
32,032_美食纪录片——烟火气男声,美食纪录片——烟火气男声,旁白 / 美食叙述者,《舌尖上的中国》类美食纪录片,35–50岁,男,普通话，温和，带生活气息,温情、质朴、有烟火味,中速，音量适中，语调自然起伏,凌晨四点，天还没亮，李大姐已经揉好了面团。一盆老面，一勺盐，几十年的功夫全在手上。她不识字，也没出过远门，但街坊四邻都说，她做的馒头，是这条街上最有温度的味道。食物的记忆，比任何档案都忠实。每一口咀嚼里，都藏着一个家庭的迁徙、一代人的坚守、一份味觉的乡愁。
33,033_宇宙探索纪录片——宏大男声,宇宙探索纪录片——宏大男声,科学解说员,天文纪录片、宇宙探索,35–50岁,男,普通话，声音开阔有空间感,敬畏、宏大、哲思,慢速，音量中等偏低，有回响感,在距离地球25000光年的地方，银河系的中心有一个超大质量黑洞。它吞噬一切，连光都无法逃脱。但在它的周围，数以亿计的恒星正在诞生。毁灭与创造，就这样并存在宇宙最极端的角落。我们都是星尘——组成你身体的每一个原子，都曾在某颗恒星的内部燃烧。从某种意义上说，我们每个人，都是宇宙看着自己的方式。
34,034_城市纪录片——文艺女声,城市纪录片——文艺女声,城市叙述者,城市宣传片、人文纪录片,25–35岁,女,普通话，文艺范，有画面感,诗意、感性、若有思索,中速偏慢，音量轻柔，留白多,成都的早晨，是从一碗担担面开始的。窄巷子里的蒸汽模糊了门脸，但味道是不会骗人的。这座城市好像永远不急——路边的茶馆里，有人下棋，有人发呆，有人把一个下午喝成了一首诗。有人说成都太慢了，可也许，慢下来才是一种能力。毕竟，懂得停下来的人，才真正知道要去哪里。
35,035_战争纪录片——沉重男声,战争纪录片——沉重男声,历史解说员,二战纪录片、战争纪实,40–60岁,男,普通话，沉重有力,沉重、庄严、敬意,偏慢，音量中等，停顿较多,1944年6月6日，诺曼底海滩。那一天，超过十五万名盟军士兵踏上了这片沙滩。他们中很多人还不到二十岁，前一天晚上还在写家书。海浪拍打着岸边，混杂着枪声和呐喊。在那片被鲜血浸透的沙滩上，自由的代价被刻进了每一粒沙子里。他们用年轻的生命证明——有些东西，值得用一切去守护。
36,036_非遗文化纪录片——质朴男声,非遗文化纪录片——质朴男声,匠人 / 文化传承者,非遗纪录片、传统工艺介绍,40–60岁,男,普通话，可能略带方言底色,质朴、真诚、有岁月感,中速偏慢，音量中等偏低，语气平实,我十三岁开始跟父亲学做紫砂壶，到现在已经四十多年了。一把壶，从选泥到成型，最快也要半个月。外面的人都说慢，可做壶这件事，就是急不得。泥是有脾气的，你得顺着它来。每一把壶出来，都不一样，因为手的温度不一样，心情不一样。这不是手艺，这是一辈子跟泥巴的对话。
37,037_科技纪录片——理性男声,科技纪录片——理性男声,科技评论员 / 纪录片旁白,人工智能、量子计算等科技纪录片,30–45岁,男,普通话，清晰精准,理性、好奇、引人入胜,中速，音量适中，专业词汇清晰,"2024年，全球最大的人工智能模型拥有超过一万亿个参数。它可以在几秒钟内写出一首诗、画一幅画、甚至模拟一个人的思维方式。但一个最简单的问题，它至今无法回答——""你快乐吗？""因为快乐不是数据，不是算法，不是任何一种模式可以计算的。也许，这正是人类最后的、也是最珍贵的壁垒。"
38,038_体育纪录片——激情男声,体育纪录片——激情男声,体育解说员 / 纪录片旁白,奥运会、世界杯纪录片,30–50岁,男,普通话，有爆发力和感染力,激情、振奋、感人,由慢到快，关键时刻音量骤升,他站在起跑线上，全场八万人屏住了呼吸。发令枪响的那一刻，他的身体像一支离弦的箭，猛地弹射出去。九秒五八。当计时器定格的那一刻，整个体育场沸腾了。他跪在地上，双手捂住了脸。没有人知道，为了这不到十秒的瞬间，他用了整整十年。十年磨一剑，今天，他让全世界都听见了那一声枪响。
39,039_海洋纪录片——空灵女声,海洋纪录片——空灵女声,海洋生物学家 / 旁白,海洋探索纪录片,30–40岁,女,普通话，空灵清澈,敬畏、宁静、神秘,慢速，音量轻柔，有水下般的宁静感,在海平面以下一千米的地方，阳光已经完全消失了。这里是永恒的黑暗，水温接近零度，压力是海面的一百倍。但即便在这样的绝境中，生命依然在倔强地闪烁着——深海鮟鱇鱼头顶的那盏小灯笼，像一颗孤独的星星，在无尽的黑暗中为自己照亮一小片世界。也许生命的本质，就是在最不可能的地方，发出自己的光。
40,040_乡村振兴纪录片——亲切男声,乡村振兴纪录片——亲切男声,驻村干部 / 旁白,乡村振兴、三农纪录片,30–45岁,男,普通话，略带地方口音，亲切质朴,朴实、温暖、充满希望,中速，音量适中，语气真诚,"三年前第一次来这个村子的时候，路还是土路，下雨天一脚泥。老村长拉着我的手说：""小伙子，你来对地方了，这里穷，但人心热。""三年后的今天，柏油路修到了家门口，直播间里的土鸡蛋卖到了北京上海。村头的大爷见到我就笑：""小张啊，你把我们村带火了！""其实，不是我带火了谁，是他们自己的日子，终于被看见了。"
41,041_音乐纪录片——深情男声,音乐纪录片——深情男声,音乐评论人 / 纪录片旁白,音乐家传记纪录片,35–50岁,男,普通话，有文艺质感,深情、感怀、诗意,中速偏慢，音量适中，音乐段落轻柔,"1985年的香港，一个年轻人在录音棚里一遍又一遍地唱着同一首歌。制作人说已经很好了，他摇头，说还不够。什么是""够""？他说，要唱到连自己都想哭才行。后来这首歌红遍了整个华语世界。再后来，唱歌的人走了，但歌还在。每当旋律响起的时候，仿佛他从未离开。音乐是唯一一种可以穿越时间的拥抱。"
42,042_医学纪录片——专业男声,医学纪录片——专业男声,医学专家 / 纪录片旁白,人体奥秘、医学科普纪录片,35–55岁,男,普通话，专业精准,专业、严谨、有科学精神,中速，音量适中，关键术语清晰,你的心脏，此刻正在以每分钟大约72次的频率跳动。这意味着，从你出生到现在，它已经跳动了超过二十亿次，没有停歇过一秒。它每天泵出约七千升血液，绕地球赤道两圈半的距离。而这一切，都是在你毫无感知的情况下完成的。你的身体，是你最忠诚的伙伴，它比你以为的更爱你。
43,043_野生动物纪录片——紧张男声,野生动物纪录片——紧张男声,野外探险家 / 旁白,捕猎场景、野外生存纪录片,30–45岁,男,普通话，有紧迫感,紧张、屏息、危机感,场景紧张时语速加快、音量降低（屏息感），爆发时音量升高,它在等。猎豹伏在草丛中，身体压得极低，瞳孔收缩成一条线。前方五十米处，一只羚羊正在低头吃草，浑然不知危险就在咫尺之间。时间仿佛凝固了。三秒、两秒、一秒——它动了！以每小时一百一十公里的速度，像一道黄色的闪电划过草原。生死之间，只有这短短几秒。猎手与猎物的故事，在这片草原上已经上演了百万年。
44,044_极地探险纪录片——坚毅男声,极地探险纪录片——坚毅男声,极地探险家,南极、北极探险纪录片,35–50岁,男,普通话，声音被风吹过的质感,坚毅、孤独、敬畏自然,偏慢，音量中等，有寒风中的颤抖感,第四十七天。气温零下52度。我已经看不见任何地标了，四面八方都是白的——白到让人分不清天和地。风很大，每走一步都要用尽全身的力气。手指已经没有知觉了。但我不能停。停下来就意味着结束。远处，企鹅的声音像是从另一个世界传来。我知道，终点就在某个我看不见的地方。继续走。
45,045_微观世界纪录片——好奇女声,微观世界纪录片——好奇女声,科普主持人,昆虫、微生物微观纪录片,25–35岁,女,普通话，充满好奇心和活力,好奇、惊叹、生动,中速，音量适中，发现细节时语调上扬,你见过蚂蚁下雨天是怎么搬家的吗？它们会排成一条完美的直线，每只蚂蚁嘴里衔着比自己大三倍的食物。如果路上遇到了水洼，工蚁们会用自己的身体搭成一座桥，让同伴踩着过去。而在这一切的最深处，蚁后在安静地等待消息。一只蚂蚁的脑子只有大约25万个神经元，但一百万只蚂蚁组成的蚁群，却能展现出近乎智慧的行为。小身体，大世界。
46,046_央视新闻联播——权威男声,央视新闻联播——权威男声,新闻主播,时政新闻、联播播报,35–50岁,男,标准普通话，字正腔圆,庄重、权威、中正平和,中速，音量中高，平稳无波动,各位观众，晚上好。今天是2025年3月15日，欢迎收看新闻联播。首先为您介绍这次节目的主要内容。全国两会今日在京闭幕，与会代表围绕经济发展、民生保障等议题展开深入讨论。国务院新闻办公室今日举行新闻发布会，介绍今年一季度经济运行总体情况。下面请看详细报道。
47,047_财经资讯——干练女声,财经资讯——干练女声,财经主播,股市播报、财经资讯,28–40岁,女,普通话，清晰利落,专业、冷静、高效,中速偏快，音量适中，数据部分精确,来看今日A股市场表现。截至收盘，上证综指报收3287.45点，上涨1.23%。深证成指涨1.85%，创业板指涨幅达2.1%。行业板块方面，半导体、人工智能概念股领涨，白酒、医药板块回调。北向资金今日净流入超过86亿元，连续第五个交易日净买入。分析师指出，市场情绪正在逐步回暖，建议投资者关注科技成长赛道的中长期布局机会。
48,048_体育新闻——激昂男声,体育新闻——激昂男声,体育新闻主播,体育赛事新闻、赛后报道,25–40岁,男,普通话，充满活力,激昂、兴奋、有感染力,中速偏快，音量较高，精彩瞬间语速加快,"昨晚的欧冠半决赛，堪称本赛季最经典的一场比赛！皇马在落后两球的情况下，最后十分钟连进三球，完成了不可思议的大逆转！伯纳乌球场八万名球迷陷入了疯狂，解说员的声音都沙哑了。赛后，主教练在新闻发布会上只说了一句话——""这就是皇家马德里。""这就是足球，永远不要提前离场，因为奇迹往往发生在最后一秒。"
49,049_天气预报——明快女声,天气预报——明快女声,天气预报主持人,电视天气预报,25–35岁,女,普通话，清脆明亮,亲切、明快、节奏感强,中速，音量适中，轻快流畅,观众朋友们好，来看今天的天气。今天白天，华北地区晴间多云，最高气温26度，紫外线指数较强，外出请注意防晒。长江中下游地区将迎来一轮降水过程，部分地区有中到大雨，出门记得带伞。华南沿海地区天气闷热，最高气温将达到33度。来看具体城市——北京晴，26度；上海小雨转中雨，22度；广州多云，33度。关注天气变化，祝您出行愉快。
50,050_夜间情感电台——磁性男声,夜间情感电台——磁性男声,深夜电台主播,午夜情感电台节目,30–45岁,男,普通话，低沉磁性，有耳语感,温柔、治愈、有陪伴感,慢速，音量偏低，像在耳边说话,城市的灯火渐渐暗了，你还在听吗？今天有人给我留言说，他在出租屋里吃了一碗泡面，忽然就哭了。不是因为委屈，而是突然想起小时候妈妈煮的面。其实啊，深夜流的泪，都是白天咽下去的话。没关系的，你不用一直坚强。偶尔脆弱一下，天也不会塌。在这个深夜，你可以卸下所有的铠甲，做回那个最真实的自己。晚安，陌生的朋友。
51,051_早间新闻——活力女声,早间新闻——活力女声,早间新闻主播,早间新闻资讯节目,25–35岁,女,普通话，清新有活力,朝气、亲切、明快,中速偏快，音量适中，节奏轻快,早上好！今天是2025年3月15日，星期六。欢迎收看早间新闻，我是主持人小林。新的一天从这里开始，先来关注几条重要消息。今天全国大部分地区天气晴好，适合周末出行。文旅部发布数据显示，今年前两个月国内旅游人数同比增长超过15%。另外提醒大家，今天部分城市有马拉松比赛，部分道路将临时管制，出行请注意绕行。接下来，让我们一起看看今天还有哪些新鲜事。
52,052_娱乐八卦——俏皮女声,娱乐八卦——俏皮女声,娱乐新闻主播 / 自媒体博主,娱乐资讯、明星八卦,22–30岁,女,普通话，语调上扬，有网感,八卦、兴奋、带节奏感,中速偏快，音量中等，关键信息加重,"好了好了，吃瓜时间到！今天的娱乐圈可以说是相当热闹——先是某顶流被拍到和神秘女子共进晚餐，照片一出，热搜直接爆了。粉丝们赶紧出来""灭火""，说是普通朋友聚餐。但眼尖的网友已经扒出来了——这家餐厅，情侣套餐，两位。嗯，普通朋友。然后呢，另一位女星在社交平台上发了一张照片，配文只有两个字""幸福""，评论区瞬间炸锅。吃瓜需谨慎，咱们坐等官宣就好啦！"
53,053_法治新闻——严肃男声,法治新闻——严肃男声,法治新闻主播,法治新闻、案件报道,35–50岁,男,普通话，庄重严谨,严肃、客观、有法律威严感,中速，音量适中，措辞精准,近日，最高人民法院发布了一批依法惩治网络犯罪的典型案例。其中一起案件中，被告人利用人工智能技术深度伪造他人面部视频，实施诈骗，涉案金额超过三百万元。法院以诈骗罪判处被告人有期徒刑十二年，并处罚金。法官指出，随着AI技术的发展，新型网络犯罪手段不断翻新，提醒广大群众提高防范意识，保护个人信息安全。
